fund_name,general_partner,vintage_year,asset_class,sub_strategy,pension_fund_count,pension_funds,total_commitment_mm,avg_net_irr,avg_net_multiple
"Endeavour Capital Fund V, L.P. - Secondary Purchase",Endeavour Capital,2020,Private Equity,Secondaries,1,WSIB,7.69,1.6551,2.7000
Endeavour Capital Fund VI,Endeavour Capital,2011,Private Equity,Buyout,1,WSIB,95.00,0.1467,2.2000
"Endeavour Capital Fund VI, L.P. - Secondary Purchase",Endeavour Capital,2020,Private Equity,Secondaries,1,WSIB,11.23,1.7679,2.8000
Endeavour Capital Fund VII,Endeavour Capital,2016,Private Equity,Buyout,2,"WSIB,Oregon",237.40,0.1669,1.9550
"Endeavour Capital Fund VII, L.P. - Secondary Purchase",Endeavour Capital,2020,Private Equity,Secondaries,1,WSIB,13.29,0.2547,1.8000
Endeavour Capital Fund VIII,Endeavour Capital,2021,Private Equity,Buyout,1,WSIB,200.00,0.0846,1.2000
Energy Capital Partners III-A,Energy,2014,Private Equity,Energy,1,CalSTRS,200.00,0.1325,1.7042
Energy Recovery Fund,Energy Recovery,1987,Private Equity,Energy,1,WSIB,100.00,0.1068,1.7000
Energy Spectrum Partners VI,Energy Spectrum,2011,Private Equity,Energy,1,CalSTRS,75.00,0.0670,1.2721
Energy Spectrum Partners VII,Energy Spectrum,2014,Private Equity,Energy,1,CalSTRS,75.00,0.0762,1.3563
Equip Opportunities Fund,Equip,2023,Private Equity,Opportunistic,1,CalPERS,140.00,,0.9945
Equistone Partners Europe Fund IV F,Equistone Partners Europe Fund F,2012,Private Equity,,1,CalSTRS,58.69,0.1483,1.7504
"Equistone Partners Europe Fund V ""D""","Equistone Partners Europe Fund ""D""",2015,Private Equity,,1,CalSTRS,134.99,0.0662,1.3961
"Equistone Partners Europe Fund VI ""E"" SCSp","Equistone Partners Europe Fund ""E""",2018,Private Equity,,1,CalSTRS,158.47,0.1644,1.5839
Equity-Linked Investors,Equity-Linked,1985,Private Equity,,1,WSIB,25.00,0.1078,2.8000
Essex Woodlands Health Ventures Fund V,Essex Woodlands Health,2000,Private Equity,Venture Capital,1,WSIB,25.00,0.0293,1.1000
Essex Woodlands Health Ventures Fund VI,Essex Woodlands Health,2004,Private Equity,Venture Capital,2,"WSIB,Oregon",50.00,0.0318,1.3400
Essex Woodlands Health Ventures Fund VII,Essex Woodlands Health,2006,Private Equity,Venture Capital,1,Oregon,50.00,0.0560,1.4000
Essex Woodlands Health Ventures Fund VIII,Essex Woodlands Health,2008,Private Equity,Venture Capital,1,Oregon,100.00,-0.0250,0.8600
Ethos U.S. Dollar Fund V-B,Ethos U.S. Dollar,2005,Private Equity,,1,NY Common,80.00,,1.0850
European Mezzanine Fund III,European Mezzanine,1999,Private Credit,Credit,1,WSIB,49.34,0.1711,2.1000
Evercore Capital Partners II,Evercore,2003,Private Equity,,1,WSIB,75.00,0.0491,1.2000
Evergreen I,Evergreen,1984,Private Equity,,1,WSIB,25.00,0.1260,2.8000
Evergreen II,Evergreen,1984,Private Equity,,1,WSIB,25.00,0.0169,1.1000
Evergreen III,Evergreen,1987,Private Equity,,1,WSIB,25.00,0.0776,1.5000
Evergreen IV,Evergreen,1987,Private Equity,,1,WSIB,25.00,0.0547,1.3000
Evergreen Pacific Partners II,Evergreen Pacific,2008,Private Equity,,1,WSIB,50.00,0.2197,2.0000
Evergreen Park Investment Fund,Evergreen Park,2021,Private Equity,,1,WSIB,4800.00,0.1769,1.4000
Exxel Capital Partners V,Exxel,1997,Private Equity,,1,Oregon,75.00,,0.0900
Exxel Capital Partners VI,Exxel,2000,Private Equity,,1,Oregon,50.00,-0.0550,0.5000
FCO MA II,FCO MA,2010,Private Equity,,1,CalSTRS,195.00,0.1552,2.1394
"FCO MA III, L.P. PE","FCO MA , L.P. PE",2012,Private Equity,,1,CalSTRS,200.00,0.0941,1.4542
FCO MA IV L.P. PE,FCO MA L.P. PE,2015,Private Equity,,1,CalSTRS,200.00,0.0701,1.2958
FCO MA V,FCO MA,2019,Private Equity,,1,CalSTRS,200.00,0.1308,1.2948
FCO V Expansion Tranche,FCO Expansion Tranche,2020,Private Equity,,1,CalSTRS,400.00,0.1052,1.1989
FFL Capital Partners IV,FFL,2015,Private Equity,,1,WSIB,200.00,0.1669,1.7000
FIMI Opportunity 6,FIMI Opportunity,2016,Private Equity,Opportunistic,1,NY Common,100.00,,1.8312
FIMI Opportunity 7,FIMI Opportunity,2021,Private Equity,Opportunistic,1,NY Common,400.00,,1.5242
FP Credit Partners III Aggregator,FP Credit Partners Aggregator,2025,Private Credit,Credit,1,CalSTRS,100.00,0.0000,
FP Credit Prtnrs Aggregator,FP Credit Prtnrs Aggregator,2020,Private Credit,Credit,1,CalSTRS,50.00,0.1602,1.5722
FP Credit Prtnrs II Aggregator,FP Credit Prtnrs Aggregator,2022,Private Credit,Credit,1,CalSTRS,150.00,0.1024,1.2366
FP VII - NYSCRF Co-Investment,FP - NYSCRF,2024,Private Equity,Co-Investment,1,NY Common,150.00,,1.0645
FS Equity Partners V,FS,2003,Private Equity,,2,"CalSTRS,NY Common",195.00,0.1518,2.0401
FS Equity Partners VI,FS,2011,Private Equity,,1,NY Common,160.00,,3.1520
FS Equity Partners VII,FS,2014,Private Equity,,1,NY Common,250.00,,1.7063
FS Equity Partners VIII,FS,2019,Private Equity,,1,NY Common,300.00,,1.5598
FSP LR,FSP LR,2024,Private Equity,,1,CalPERS,10.00,,0.0830
Fairview Ventures Fund II - NY,Fairview Ventures Fund - NY,2002,Private Equity,Venture Capital,1,NY Common,200.00,,1.5348
Falcon Strategic Partners III,Falcon,2009,Private Equity,,1,NY Common,100.00,,1.3973
Fenway Partners Capital Fund II,Fenway,1998,Private Equity,,1,Oregon,50.00,0.0420,1.1600
Fenway Partners Capital Fund III,Fenway,2006,Private Equity,,1,Oregon,50.00,0.0700,1.4900
Fifth Cinven Fund,Cinven,2012,Private Equity,Buyout,1,Oregon,75.80,0.1690,1.6400
"Fifth Cinven Fund, LP (The)",Cinven,2012,Private Equity,Buyout,1,NY Common,324.19,,1.6399
First Reserve Fund IX,First Reserve,2001,Private Equity,Energy,2,"WSIB,Oregon",175.00,0.4811,2.8250
First Reserve Fund VIII,First Reserve,1998,Private Equity,Energy,1,WSIB,50.00,0.1583,1.9000
First Reserve Fund X,First Reserve,2004,Private Equity,Energy,2,"WSIB,Oregon",300.00,0.3103,1.8150
First Reserve Fund XI,First Reserve,2006,Private Equity,Energy,3,"CalPERS,CalSTRS,WSIB",1600.00,-0.0928,0.6754
First Reserve Fund XII,First Reserve,2008,Private Equity,Energy,2,"CalSTRS,WSIB",1200.00,-0.1735,0.4909
First Reserve Fund XIII,First Reserve,2014,Private Equity,Energy,3,"CalPERS,CalSTRS,WSIB",1000.00,-0.0203,0.9139
Fisher Lynch Co-Investment Fund V,Fisher Lynch Co-Investment,2024,Private Equity,Co-Investment,1,WSIB,100.00,0.2654,1.3000
Fisher Lynch Co-Investment Partnership,Fisher Lynch Co-Investment Partnership,2006,Private Equity,Co-Investment,2,"WSIB,Oregon",500.00,0.0688,1.4850
Fisher Lynch Co-Investment Partnership II,Fisher Lynch Co-Investment Partnership,2011,Private Equity,Co-Investment,2,"WSIB,Oregon",1000.00,0.1726,2.3050
Fisher Lynch Co-Investment Partnership III,Fisher Lynch Co-Investment Partnership,2017,Private Equity,Co-Investment,1,WSIB,700.00,0.1225,1.9000
Fisher Lynch Co-Investment Partnership IV,Fisher Lynch Co-Investment Partnership,2019,Private Equity,Co-Investment,1,WSIB,750.00,0.1805,2.0000
Focus Ventures III,Focus,2006,Private Equity,Venture Capital,1,Oregon,40.00,-0.1000,0.5400
ForCal I Investment Fund C.V.,ForCal Investment Fund C..,2023,Private Equity,,1,CalPERS,323.07,,1.3552
Forbion BioEconomy Fund I Co?peratief U.A.,Forbion BioEconomy Fund Co?peratief U.A.,2024,Private Equity,,1,CalPERS,37.78,,0.8985
Forbion Growth Opportunities Fund II Cooperatief U.A.,Forbion Growth,2023,Private Equity,Growth Equity,1,CalPERS,16.76,,1.6427
Forbion Growth Opportunities Fund III Co?peratief U.A.,Forbion Growth Opportunities Fund Co?peratief U.A.,2024,Private Equity,Growth Equity,1,CalPERS,360.94,,0.6474
Forbion Ventures Fund VI Cooperatief U.A.,Forbion,2023,Private Equity,Venture Capital,1,CalPERS,173.10,,1.3396
Forbion Ventures Fund VII Co?peratief U.A.,Forbion Ventures Fund Co?peratief U.A.,2024,Private Equity,Venture Capital,1,CalPERS,255.73,,0.8482
Forecastle,Forecastle,2020,Private Equity,,1,CalPERS,790.00,0.1810,1.4541
Fortress Credit Opportunities Fund II(A),Fortress Credit,2010,Private Credit,Credit,1,CalSTRS,5.00,0.1463,2.1453
Fortress Investment Fund,Fortress,2000,Private Equity,,1,WSIB,200.00,0.2565,2.3000
Fortress Investment Fund II,Fortress,2002,Private Equity,,1,WSIB,100.00,0.3598,1.5000
Fortress Investment Fund III,Fortress,2004,Private Equity,,1,WSIB,175.00,0.0120,1.1000
Fortress Investment Fund IV,Fortress,2006,Private Equity,,1,WSIB,200.00,-0.0157,0.9000
"Fortress Investment Fund IV, L.P. - Co-Investment","Fortress Investment Fund , L.P.",2006,Private Equity,Co-Investment,1,WSIB,25.00,-0.0372,0.7000
Fortress Investment Fund V,Fortress,2007,Private Equity,,1,WSIB,250.00,0.0429,1.5000
"Fortress Investment Fund V, L.P. - Co-Investment","Fortress Investment Fund , L.P.",2007,Private Equity,Co-Investment,1,WSIB,50.00,-0.0557,0.5000
Founders Equity NY,Founders Equity NY,2003,Private Equity,,1,NY Common,88.00,,1.1816
FountainVest China Capital Partners Fund III,FountainVest China Capital Partners,2017,Private Equity,,2,"CalSTRS,WSIB",350.00,0.1150,1.6759
FountainVest China Growth Capital Fund,FountainVest China Growth,2008,Private Equity,Growth Equity,2,"CalSTRS,WSIB",100.00,0.0665,1.4293
FountainVest China Growth Capital Fund II,FountainVest China Growth,2013,Private Equity,Growth Equity,3,"CalSTRS,WSIB,NY Common",345.00,0.1140,1.4347
FountainVest Partners Fund IV,FountainVest Partners,2021,Private Equity,,2,"CalSTRS,WSIB",400.00,-0.1006,0.7802
Fourth Street Partners - CPS,Fourth Street Partners - CPS,2021,Private Equity,,1,CalPERS,500.00,0.1491,1.5558
Fox Paine Capital Fund II,Fox Paine,2000,Private Equity,,1,Oregon,50.00,0.1890,1.9000
France Private Equity II,France,1998,Private Equity,,1,WSIB,27.09,0.1374,1.7000
Francisco Partners,Francisco Partners,2000,Private Equity,Buyout,1,WSIB,60.00,0.0441,1.3000
Francisco Partners Agility,Francisco Partners,2017,Private Equity,Buyout,1,CalSTRS,50.00,0.8250,4.9629
Francisco Partners Agility II,Francisco Partners,2020,Private Equity,Buyout,3,"CalPERS,CalSTRS,Oregon",150.00,0.2902,2.1427
Francisco Partners Agility III,Francisco Partners,2025,Private Equity,Buyout,4,"CalPERS,CalSTRS,Oregon,NY Common",400.00,0.3272,1.1374
Francisco Partners II,Francisco Partners,2006,Private Equity,Buyout,2,"CalPERS,Oregon",275.00,0.1040,1.6515
Francisco Partners III,Francisco Partners,2011,Private Equity,Buyout,3,"CalPERS,CalSTRS,Oregon",275.00,0.2292,3.4349
Francisco Partners IV,Francisco Partners,2015,Private Equity,Buyout,4,"CalSTRS,WSIB,Oregon,NY Common",580.00,0.2573,3.0095
Francisco Partners V,Francisco Partners,2018,Private Equity,Buyout,3,"CalSTRS,WSIB,Oregon",600.00,0.1813,2.2381
Francisco Partners VI,Francisco Partners,2021,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",1500.00,0.1419,1.4347
Francisco Partners VII,Francisco Partners,2023,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",1800.00,0.1371,1.0785
"Francisco Partners, L.P. - WSIB Secondary",Francisco Partners,2004,Private Equity,Secondaries,1,WSIB,10.00,0.2103,2.1000
Frazier Healthcare Growth XI,Frazier Healthcare Growth,2025,Private Equity,Growth Equity,1,CalSTRS,100.00,0.0000,
Frazier Healthcare II,Frazier Healthcare,1996,Private Equity,,1,WSIB,10.00,0.0685,1.5000
Frazier Healthcare III,Frazier Healthcare,1998,Private Equity,,1,WSIB,40.00,-0.1114,0.5000
Frazier Healthcare IV,Frazier Healthcare,2001,Private Equity,,1,WSIB,40.00,0.0065,1.0000
Frazier Healthcare Ventures V,Frazier Healthcare,2005,Private Equity,Venture Capital,1,CalSTRS,47.47,0.1473,2.2751
GA Continuity II (GT) Fund,GA Continuity,2025,Private Equity,,1,CalPERS,31.62,,1.1897
GC Customer Value Fund II,GC Customer Value,2023,Private Equity,,1,CalPERS,280.49,,1.1763
GCM Grosvenor - NYSCRF New York Co-Investment Program Fund 2005,GCM Grosvenor - NYSCRF New York Co-Investment Program,2005,Private Equity,Co-Investment,1,NY Common,450.00,,1.2488
GCM Grosvenor DEM,GCM Grosvenor DEM,2012,Private Equity,,1,CalPERS,100.00,0.0870,1.3761
GCM Grosvenor DEM II,GCM Grosvenor DEM,2014,Private Equity,,1,CalPERS,250.00,0.1490,1.7311
GCM Grosvenor DEM III,GCM Grosvenor DEM,2019,Private Equity,,1,CalPERS,550.00,0.2170,1.6886
GCM Grosvenor Elevate Fund,GCM Grosvenor Elevate,2023,Private Equity,,1,CalPERS,500.00,,0.8847
GEI Jupiter Holdings J,GEI Jupiter Holdings J,2025,Private Equity,,1,WSIB,65.75,-0.0346,1.0000
GGV Capital IV,GGV Capital,2011,Private Equity,Venture Capital,2,"CalSTRS,Oregon",110.00,0.0831,1.6988
GGV Capital IX,GGV Capital,2024,Private Equity,Venture Capital,1,Oregon,90.00,,1.7300
GGV Capital IX Plus,GGV Capital,2023,Private Equity,Venture Capital,1,Oregon,22.50,,1.7800
GGV Capital Select,GGV Capital,2015,Private Equity,Venture Capital,2,"CalSTRS,Oregon",100.00,0.0305,1.2147
GGV Capital V,GGV Capital,2014,Private Equity,Venture Capital,2,"CalSTRS,Oregon",100.00,0.2451,5.0832
GGV Capital VI,GGV Capital,2016,Private Equity,Venture Capital,2,"CalSTRS,Oregon",90.00,0.0776,1.5957
GGV Capital VI Plus,GGV Capital,2018,Private Equity,Venture Capital,2,"CalSTRS,Oregon",30.00,0.1483,1.8455
GGV Capital VII,GGV Capital,2019,Private Equity,Venture Capital,2,"CalSTRS,Oregon",28.00,0.0467,1.2628
GGV Capital VIII Plus,GGV Capital,2021,Private Equity,Venture Capital,2,"CalSTRS,Oregon",90.00,0.0666,1.1985
GGV Discovery I,GGV Discovery,2016,Private Equity,,1,Oregon,20.00,0.0230,1.1800
GGV Discovery II,GGV Discovery,2019,Private Equity,,2,"CalSTRS,Oregon",40.00,0.0788,1.4477
GGV Discovery III,GGV Discovery,2021,Private Equity,,2,"CalSTRS,Oregon",60.00,0.0643,1.1942
GGV Discovery IV Asia,GGV Discovery Asia,2024,Private Equity,,1,Oregon,18.80,,0.9700
GGV Discovery IV US,GGV Discovery US,2024,Private Equity,,1,Oregon,18.80,,1.0600
GI Data Infrastructure Fund,GI Data,2020,Real Assets,Infrastructure,1,CalSTRS,150.00,0.1091,1.3337
GI Data Infrastructure Fund II,GI Data,2024,Real Assets,Infrastructure,1,CalPERS,150.00,,1.0709
GI Partners Fund IV,GI Partners,2014,Private Equity,Buyout,2,"WSIB,Oregon",250.00,0.1426,2.0950
GI Partners Fund V,GI Partners,2018,Private Equity,Buyout,1,WSIB,250.00,0.1540,1.8000
GI Partners Fund VI,GI Partners,2021,Private Equity,Buyout,2,"CalSTRS,WSIB",600.00,0.0950,1.2987
GI Partners V,GI Partners,2018,Private Equity,Buyout,1,CalSTRS,250.00,0.1540,1.7466
GIM LTE Hazel,GIM LTE Hazel,2024,Private Equity,,1,CalPERS,215.00,,1.2624
GSC I,GSC,2024,Private Equity,,1,CalPERS,400.00,,1.0772
GSO CSF III Co Investment Fund,GSO CSF Co,2017,Private Equity,Co-Investment,1,NY Common,400.00,,1.5995
GSO Capital Opportunities Fund,GSO,2008,Private Equity,Opportunistic,1,CalSTRS,100.00,0.1708,1.6744
GSO Capital Opportunities Fund I,GSO,2006,Private Equity,Opportunistic,1,Oregon,100.00,0.1720,1.4200
GSO Capital Opportunities Fund II,GSO,2011,Private Equity,Opportunistic,2,"CalSTRS,Oregon",350.00,0.0921,1.2545
GSO Capital Opportunities Fund III,GSO,2016,Private Equity,Opportunistic,1,CalSTRS,250.00,0.1163,1.3148
GSO Capital Solutions Fund II,GSO Capital Solutions,2014,Private Equity,,2,"CalSTRS,NY Common",325.00,0.7100,1.0155
GSO Capital Solutions Fund III,GSO Capital Solutions,2018,Private Equity,,2,"CalSTRS,NY Common",850.00,0.0974,1.2112
GSO Energy Partners-C,GSO,2013,Private Equity,Energy,1,CalPERS,400.00,-0.0310,0.8773
GSO Energy Partners-C II,GSO Energy Partners-C,2016,Private Equity,Energy,1,CalPERS,250.00,0.0820,1.2998
GTCR Capital Partners,GTCR,1999,Private Equity,Buyout,1,WSIB,50.00,0.1081,1.4000
GTCR Capital Solutions Fund,GTCR,,Private Equity,Buyout,1,WSIB,100.00,,
GTCR Fund IX,GTCR,2006,Private Equity,Buyout,1,WSIB,185.00,0.1377,1.8000
GTCR Fund VII,GTCR,2000,Private Equity,Buyout,1,WSIB,93.76,0.2183,2.4000
GTCR Fund VII-A,GTCR,2001,Private Equity,Buyout,1,WSIB,31.25,0.8300,2.8000
GTCR Fund VIII,GTCR,2003,Private Equity,Buyout,1,WSIB,125.00,0.2240,1.8000
GTCR Fund X,GTCR,2011,Private Equity,Buyout,1,WSIB,300.00,0.2160,2.1000
GTCR Fund XI,GTCR,2014,Private Equity,Buyout,1,WSIB,350.00,0.3031,3.0000
GTCR Fund XII,GTCR,2018,Private Equity,Buyout,1,WSIB,400.00,0.1965,1.9000
GTCR Fund XII-AB,GTCR,2017,Private Equity,Buyout,1,Oregon,150.00,0.1910,1.8500
GTCR Fund XIII,GTCR,2021,Private Equity,Buyout,1,WSIB,535.00,0.1920,1.4000
GTCR Fund XIII-AB,GTCR,2020,Private Equity,Buyout,1,Oregon,205.00,0.1910,1.4900
GTCR Fund XIV,GTCR,2024,Private Equity,Buyout,2,"WSIB,Oregon",900.00,0.6320,1.4350
GTCR Strategic Growth Fund I,GTCR,2022,Private Equity,Growth Equity,2,"WSIB,Oregon",230.00,0.1051,1.1700
GTCR Strategic Growth Fund II,GTCR,,Private Equity,Growth Equity,1,WSIB,200.00,,
GTCR Strategic Growth II,GTCR,2024,Private Equity,Growth Equity,1,Oregon,75.00,,
"Gaia Investments, S.","Gaia Investments, S.",2024,Private Equity,,1,CalPERS,60.00,,0.9880
GenNx360 Capital Partners,GenNx360,2008,Private Equity,,1,NY Common,120.00,,0.8909
GenNx360 Capital Partners II,GenNx360,2012,Private Equity,,1,NY Common,250.00,,1.8574
GenNx360 Capital Partners III,GenNx360,2018,Private Equity,,1,NY Common,300.00,,1.9279
General Atlantic,General Atlantic,2016,Private Equity,Growth Equity,1,Oregon,500.00,0.1380,1.6000
General Atlantic Managed Account,General Atlantic,2020,Private Equity,Growth Equity,1,CalPERS,1050.00,0.0700,1.2116
General Catalyst Group XI - Health Assurance,General Catalyst Group - Health Assurance,2023,Private Equity,,1,CalPERS,200.00,,1.1831
General Catalyst Group XII,General Catalyst Group,2024,Private Equity,,1,WSIB,200.00,0.1401,1.1000
General Catalyst Group XII - Creation,General Catalyst Group - Creation,2024,Private Equity,,1,CalPERS,293.50,,0.9930
General Catalyst Group XII - Health Assurance,General Catalyst Group - Health Assurance,2024,Private Equity,,1,CalPERS,100.00,,0.9239
General Catalyst Group XII - Ignition,General Catalyst Group - Ignition,2024,Private Equity,,1,CalPERS,200.00,,1.0081
Genstar Capital Partners IX,Genstar,2019,Private Equity,Buyout,1,Oregon,120.00,0.2530,2.1800
Genstar Capital Partners V,Genstar,2007,Private Equity,Buyout,1,CalSTRS,70.00,0.1553,2.4110
Genstar Capital Partners VIII,Genstar,2017,Private Equity,Buyout,1,Oregon,100.00,0.2450,2.6600
Genstar Capital Partners X,Genstar,2021,Private Equity,Buyout,2,"CalPERS,Oregon",240.00,0.0416,1.1033
Genstar Capital Partners XI,Genstar,2023,Private Equity,Buyout,3,"CalPERS,Oregon,NY Common",929.10,,1.2784
Genstar IX Opportunities Fund I,Genstar,2019,Private Equity,Opportunistic,1,Oregon,80.00,0.2010,2.1000
Genstar VIII Opportunities Fund,Genstar,2017,Private Equity,Opportunistic,1,Oregon,50.00,0.1950,2.6800
Genstar X Opportunities Fund I,Genstar,2021,Private Equity,Opportunistic,2,"CalPERS,Oregon",235.00,0.0861,1.2410
Genstar XI Opportunities Fund I,Genstar,2023,Private Equity,Opportunistic,2,"CalPERS,Oregon",220.90,,1.1574
Gilbert Global Equity Partners,Gilbert Global,1998,Private Equity,,1,WSIB,100.00,0.0322,1.4000
Gilde Buyout Fund IV C.V.,Gilde Buyout Fund C..,2010,Private Equity,Buyout,1,NY Common,43.23,,1.6820
Gold Hills Partners,Gold Hills,2024,Private Equity,,1,CalPERS,400.00,,1.2148
Gores Capital Partners II,Gores,2007,Private Equity,,1,CalSTRS,100.00,0.0720,1.3541
Gores Capital Partners III,Gores,2009,Private Equity,,1,Oregon,100.00,0.0090,1.0300
Gores Small Capitalization Partners,Gores Small Capitalization,2012,Private Equity,,1,CalSTRS,30.00,0.1636,1.6887
Gorseway Park PE,Gorseway Park PE,2024,Private Equity,,1,CalPERS,225.00,,1.0422
Grain Communications Opportunity Fund IV-A,Grain Communications Opportunity,2023,Private Equity,Opportunistic,1,CalPERS,200.00,,0.9160
GranTain Co-Invest,GranTain,2021,Private Equity,Co-Investment,1,CalPERS,350.00,0.0791,1.1767
Grandval,Grandval,2018,Private Equity,,1,CalPERS,50.00,0.1790,1.9149
Grandval II,Grandval,2019,Private Equity,,1,CalPERS,1050.00,0.1500,1.5786
Granite Ventures II,Granite,2005,Private Equity,Venture Capital,1,Oregon,25.00,0.1060,2.7700
Graycliff Private Equity Partners III (NYS),Graycliff Private,2014,Private Equity,,1,NY Common,100.00,,3.3001
GreatPoint Opportunity Fund I,GreatPoint Opportunity,2024,Private Equity,Opportunistic,1,CalPERS,100.00,,1.1093
Green Equity Investors CF II,Green Equity,2021,Private Equity,,1,CalPERS,186.64,0.1281,1.3376
Green Equity Investors CF IV J,Green Equity,2025,Private Equity,,1,NY Common,71.72,,
Green Equity Investors III,Green Equity,1999,Private Equity,,1,Oregon,50.00,0.2160,2.2600
Green Equity Investors IV,Green Equity,2003,Private Equity,,2,"WSIB,Oregon",200.00,0.1116,1.9100
Green Equity Investors IX,Green Equity,2023,Private Equity,,3,"CalPERS,WSIB,NY Common",1525.00,0.1922,1.1769
Green Equity Investors V,Green Equity,2007,Private Equity,,3,"CalPERS,WSIB,NY Common",855.00,0.1827,2.2660
Green Equity Investors VI,Green Equity,2012,Private Equity,,2,"WSIB,NY Common",700.00,0.1333,2.0092
Green Equity Investors VII,Green Equity,2017,Private Equity,,3,"WSIB,Oregon,NY Common",964.00,0.1787,1.9945
Green Equity Investors VIII,Green Equity,2020,Private Equity,,3,"CalPERS,WSIB,NY Common",1576.21,0.1149,1.4127
Green Mountain Partners,Green Mountain,1996,Private Equity,,1,WSIB,30.00,0.0562,1.2000
Green Mountain Partners II,Green Mountain,1998,Private Equity,,1,WSIB,40.00,0.1031,1.6000
Greenbriar Equity Fund VI,Greenbriar Equity,2023,Private Equity,,1,CalPERS,95.00,,1.1482
Greenleaf Co-Invest Partners,Greenleaf Co-Invest,2021,Private Equity,Co-Investment,1,CalPERS,975.00,0.1711,1.6797
Griffin Gaming Partners III,Griffin Gaming,2025,Private Equity,,1,CalPERS,50.00,,0.8445
Gryphon Partners II,Gryphon,1999,Private Equity,,2,"WSIB,Oregon",82.50,0.0466,1.1900
H.I.G. Europe Middle Market LBO Fund,H..G. Europe Middle Market LBO,2021,Private Equity,,1,CalPERS,107.50,0.2001,1.3336
HGGC III,Hg,2017,Private Equity,Buyout,1,CalSTRS,100.00,0.2544,2.3049
HIPEP V-Asia Pacific and Rest of World Fund,HIPEP -Asia Pacific and Rest of World,2006,Private Equity,,1,WSIB,75.00,0.0557,1.4000
HIPEP VI-Asia Pacific Fund,HIPEP -Asia Pacific,2009,Private Equity,,1,WSIB,50.00,0.0788,1.6000
HIPEP VI-Emerging Markets Fund,HIPEP -Emerging Markets,2009,Private Equity,,1,WSIB,50.00,0.0174,1.1000
HSBC Private Equity Fund II,HSBC Private Equity,1997,Private Equity,,1,Oregon,50.00,0.0820,1.3300
Hamilton Lane Co-Investment Fund,Hamilton Lane,2005,Private Equity,Co-Investment,1,NY Common,200.00,,0.9175
Hamilton Lane NY Israel Fund,Hamilton Lane,2017,Private Equity,Fund of Funds,1,NY Common,800.00,,1.6713
Hamilton Lane NY Israel Fund II,Hamilton Lane,2022,Private Equity,Fund of Funds,1,NY Common,500.00,,0.8365
Hamilton Lane SMID Fund,Hamilton Lane,2009,Private Equity,Fund of Funds,1,Oregon,300.00,0.1150,1.6200
HarbourVest Global Private Equity,HarbourVest,2007,Private Equity,Fund of Funds,1,WSIB,147.40,0.0400,1.4000
HarbourVest Int'l PEP III - Direct Fund,HarbourVest,1998,Private Equity,Fund of Funds,1,WSIB,50.10,-0.0200,0.8000
HarbourVest Int'l PEP III - Partnership Fund,HarbourVest,1998,Private Equity,Fund of Funds,1,WSIB,76.80,0.1050,1.6000
HarbourVest Int'l PEP IV - Direct Fund,HarbourVest,2001,Private Equity,Fund of Funds,1,WSIB,56.70,0.2129,1.9000
HarbourVest Int'l PEP IV- Partnership Fund,HarbourVest,2001,Private Equity,Fund of Funds,1,WSIB,32.40,0.2259,1.7000
HarbourVest International PEP,HarbourVest,1990,Private Equity,Fund of Funds,1,Oregon,25.00,0.1110,1.7700
HarbourVest International PEP II,HarbourVest,1995,Private Equity,Fund of Funds,1,Oregon,75.00,0.1190,1.5400
HarbourVest International PEP II - Direct Fund,HarbourVest,1995,Private Equity,Fund of Funds,1,WSIB,5.00,0.1957,1.9000
HarbourVest International PEP II - Partnership Fund,HarbourVest,1995,Private Equity,Fund of Funds,1,WSIB,35.06,0.0943,1.4000
HarbourVest International Private Equity Partners III-Partnership Fund,HarbourVest,1997,Private Equity,Fund of Funds,1,NY Common,400.00,,1.5523
HarbourVest Partners 2004 Direct Fund,HarbourVest,2004,Private Equity,Fund of Funds,1,Oregon,75.00,0.1050,1.8000
HarbourVest Partners 2007 Direct Fund,HarbourVest,2007,Private Equity,Fund of Funds,1,Oregon,100.00,0.1020,1.6900
HarbourVest Partners 2013 Direct Fund,HarbourVest,2013,Private Equity,Fund of Funds,1,Oregon,75.00,0.1550,1.7600
HarbourVest Partners II,HarbourVest,1985,Private Equity,Fund of Funds,1,WSIB,10.00,0.0849,1.9000
HarbourVest Partners IV - Investment Program,HarbourVest,1993,Private Equity,Fund of Funds,1,Oregon,50.00,0.3480,3.3700
HarbourVest Partners V - Investment Program,HarbourVest,1997,Private Equity,Fund of Funds,1,Oregon,100.00,0.0930,1.4200
HarbourVest Partners VI - Partnership Fund,HarbourVest,1999,Private Equity,Fund of Funds,1,WSIB,187.50,0.0360,1.2000
HarbourVest Partners VI-Partnership Fund,HarbourVest,1999,Private Equity,Fund of Funds,1,NY Common,600.00,,1.2796
HarbourVest Partners VII-Venture Partnership Fund,HarbourVest,2002,Private Equity,Venture Capital,1,NY Common,300.00,,1.6111
Healthcare and Fintech,Healthcare and Fintech,2022,Private Equity,,1,CalPERS,200.00,0.4051,1.5952
Hedosophia Partners VI,Hedosophia,2024,Private Equity,,1,CalPERS,60.00,,1.0258
Hedosophia Strategic Partners,Hedosophia,2024,Private Equity,,1,CalPERS,14.13,,0.9393
